STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,CITY
1,1,5,9,16,45,3,10298,0
1,29,5,9,23,15,3,10299,0
1,21,5,12,13,40,6,10300,0
1,69,5,3,5,20,4,10301,0
1,7,5,8,19,45,2,10302,0
1,87,5,8,14,20,2,10303,0
1,31,5,11,16,25,5,10304,0
1,15,5,16,17,45,3,10305,0
1,35,5,7,6,45,1,10306,0
1,55,5,13,15,30,7,10307,0
1,97,5,16,21,10,3,10308,0
1,123,5,15,21,30,2,10309,0
1,95,5,19,19,5,6,10310,0
1,45,5,20,1,0,7,10311,0
1,97,5,10,21,0,4,10312,2100
1,103,5,12,21,50,6,10313,0
1,131,5,13,21,30,7,10314,0
1,101,5,25,19,0,5,10315,0
1,97,5,11,6,25,5,10316,0
1,95,5,19,20,25,6,10317,0
1,83,5,21,18,55,1,10318,0
1,49,5,25,15,30,5,10319,0
1,49,5,27,21,40,7,10320,0
1,73,5,19,22,20,6,10321,330
1,17,5,29,17,50,2,10322,0
1,101,5,30,14,0,3,10323,0
1,101,5,31,4,30,4,10324,0
1,61,5,24,18,0,4,10325,1580
1,81,5,4,16,12,5,10326,2340
1,71,5,6,11,30,7,10327,2720
1,89,5,23,21,20,3,10328,1730
1,39,5,26,18,35,6,10329,0
1,71,5,31,23,43,4,10330,2720
1,113,5,7,7,0,1,10331,2440
1,73,5,6,19,50,7,10332,350
1,81,5,4,16,48,5,10333,200
1,3,5,19,23,33,6,10334,2355
1,49,5,2,17,47,3,10335,1230
1,73,5,28,4,42,1,10336,350
1,63,5,7,0,30,1,10337,0
1,89,5,8,17,5,2,10338,1730
1,117,5,31,17,20,4,10339,0
1,117,5,30,17,3,3,10340,530
1,45,5,31,6,28,4,10341,2380
1,97,5,24,18,17,4,10342,2713
1,53,5,29,19,20,2,10343,0
1,55,5,24,8,27,4,10344,1280
1,55,5,8,6,38,2,10345,2822
1,55,5,16,14,30,3,10346,2822
