STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,DAY_WEEK,ST_CASE
1.0000,3.0000,4.0000,13.0000,78.0000,22.0000,45.0000,5.0000,10209.0000
1.0000,127.0000,4.0000,16.0000,78.0000,18.0000,0.0000,1.0000,10210.0000
1.0000,127.0000,4.0000,16.0000,78.0000,17.0000,0.0000,1.0000,10211.0000
1.0000,101.0000,4.0000,13.0000,78.0000,21.0000,15.0000,5.0000,10212.0000
1.0000,89.0000,3.0000,31.0000,78.0000,19.0000,51.0000,6.0000,10213.0000
1.0000,129.0000,4.0000,10.0000,78.0000,15.0000,5.0000,2.0000,10214.0000
1.0000,73.0000,4.0000,20.0000,78.0000,19.0000,20.0000,5.0000,10215.0000
1.0000,63.0000,4.0000,9.0000,78.0000,15.0000,38.0000,1.0000,10216.0000
1.0000,81.0000,4.0000,23.0000,78.0000,12.0000,5.0000,1.0000,10217.0000
1.0000,31.0000,4.0000,23.0000,78.0000,1.0000,20.0000,1.0000,10218.0000
1.0000,111.0000,4.0000,14.0000,78.0000,0.0000,30.0000,6.0000,10219.0000
1.0000,25.0000,4.0000,6.0000,78.0000,16.0000,30.0000,5.0000,10220.0000
1.0000,21.0000,4.0000,17.0000,78.0000,23.0000,40.0000,2.0000,10221.0000
1.0000,55.0000,4.0000,15.0000,78.0000,12.0000,0.0000,7.0000,10222.0000
1.0000,97.0000,4.0000,19.0000,78.0000,20.0000,17.0000,4.0000,10223.0000
1.0000,73.0000,4.0000,23.0000,78.0000,19.0000,0.0000,1.0000,10224.0000
1.0000,3.0000,4.0000,22.0000,78.0000,22.0000,15.0000,7.0000,10225.0000
1.0000,3.0000,4.0000,23.0000,78.0000,1.0000,20.0000,1.0000,10226.0000
1.0000,3.0000,4.0000,23.0000,78.0000,14.0000,0.0000,1.0000,10227.0000
1.0000,63.0000,4.0000,16.0000,78.0000,23.0000,0.0000,1.0000,10228.0000
1.0000,125.0000,4.0000,20.0000,78.0000,18.0000,30.0000,5.0000,10229.0000
1.0000,117.0000,4.0000,22.0000,78.0000,10.0000,20.0000,7.0000,10230.0000
1.0000,73.0000,4.0000,27.0000,78.0000,20.0000,47.0000,5.0000,10231.0000
1.0000,133.0000,4.0000,19.0000,78.0000,15.0000,35.0000,4.0000,10232.0000
1.0000,45.0000,4.0000,15.0000,78.0000,23.0000,50.0000,7.0000,10233.0000
1.0000,125.0000,4.0000,24.0000,78.0000,20.0000,45.0000,2.0000,10234.0000
1.0000,21.0000,4.0000,24.0000,78.0000,19.0000,15.0000,2.0000,10235.0000
1.0000,97.0000,4.0000,24.0000,78.0000,9.0000,15.0000,2.0000,10236.0000
1.0000,93.0000,4.0000,11.0000,78.0000,19.0000,0.0000,3.0000,10237.0000
1.0000,39.0000,4.0000,16.0000,78.0000,3.0000,12.0000,1.0000,10238.0000
1.0000,73.0000,4.0000,28.0000,78.0000,22.0000,3.0000,6.0000,10239.0000
1.0000,27.0000,4.0000,26.0000,78.0000,12.0000,50.0000,4.0000,10240.0000
1.0000,33.0000,4.0000,25.0000,78.0000,18.0000,45.0000,3.0000,10241.0000
1.0000,43.0000,4.0000,26.0000,78.0000,8.0000,20.0000,4.0000,10242.0000
1.0000,103.0000,4.0000,24.0000,78.0000,2.0000,20.0000,2.0000,10243.0000
1.0000,97.0000,4.0000,14.0000,78.0000,8.0000,50.0000,6.0000,10244.0000
1.0000,73.0000,4.0000,17.0000,78.0000,1.0000,0.0000,2.0000,10245.0000
1.0000,99.0000,4.0000,22.0000,78.0000,12.0000,15.0000,7.0000,10246.0000
1.0000,101.0000,4.0000,10.0000,78.0000,17.0000,38.0000,2.0000,10247.0000
1.0000,23.0000,4.0000,16.0000,78.0000,19.0000,0.0000,1.0000,10248.0000
1.0000,25.0000,4.0000,27.0000,78.0000,14.0000,55.0000,5.0000,10249.0000
1.0000,55.0000,4.0000,29.0000,78.0000,23.0000,0.0000,7.0000,10250.0000
1.0000,15.0000,4.0000,4.0000,78.0000,11.0000,59.0000,3.0000,10251.0000
1.0000,73.0000,4.0000,30.0000,78.0000,0.0000,25.0000,1.0000,10252.0000
1.0000,113.0000,4.0000,11.0000,78.0000,9.0000,43.0000,3.0000,10253.0000
1.0000,17.0000,4.0000,26.0000,78.0000,13.0000,30.0000,4.0000,10254.0000
1.0000,115.0000,4.0000,28.0000,78.0000,1.0000,0.0000,6.0000,10255.0000
1.0000,55.0000,4.0000,25.0000,78.0000,23.0000,10.0000,3.0000,10256.0000
1.0000,125.0000,4.0000,20.0000,78.0000,16.0000,15.0000,5.0000,10257.0000
1.0000,7.0000,4.0000,22.0000,78.0000,16.0000,20.0000,7.0000,10258.0000
1.0000,93.0000,4.0000,27.0000,78.0000,21.0000,30.0000,5.0000,10259.0000
1.0000,89.0000,5.0000,3.0000,78.0000,4.0000,35.0000,4.0000,10260.0000
1.0000,73.0000,5.0000,3.0000,78.0000,21.0000,30.0000,4.0000,10261.0000
1.0000,73.0000,5.0000,3.0000,78.0000,13.0000,15.0000,4.0000,10262.0000
1.0000,21.0000,5.0000,6.0000,78.0000,21.0000,15.0000,7.0000,10263.0000
1.0000,121.0000,5.0000,7.0000,78.0000,0.0000,30.0000,1.0000,10264.0000
1.0000,101.0000,5.0000,7.0000,78.0000,11.0000,30.0000,1.0000,10265.0000
1.0000,123.0000,5.0000,7.0000,78.0000,9.0000,50.0000,1.0000,10266.0000
1.0000,125.0000,5.0000,4.0000,78.0000,7.0000,40.0000,5.0000,10267.0000
1.0000,75.0000,5.0000,6.0000,78.0000,20.0000,30.0000,7.0000,10268.0000
1.0000,91.0000,5.0000,6.0000,78.0000,16.0000,40.0000,7.0000,10269.0000
1.0000,37.0000,5.0000,7.0000,78.0000,11.0000,50.0000,1.0000,10270.0000
1.0000,125.0000,5.0000,4.0000,78.0000,22.0000,0.0000,5.0000,10271.0000
1.0000,19.0000,5.0000,6.0000,78.0000,22.0000,54.0000,7.0000,10272.0000
1.0000,117.0000,5.0000,8.0000,78.0000,13.0000,50.0000,2.0000,10273.0000
1.0000,73.0000,5.0000,14.0000,78.0000,20.0000,32.0000,1.0000,10274.0000
1.0000,97.0000,4.0000,23.0000,78.0000,3.0000,0.0000,1.0000,10275.0000
1.0000,47.0000,5.0000,14.0000,78.0000,1.0000,0.0000,1.0000,10276.0000
1.0000,97.0000,4.0000,19.0000,78.0000,7.0000,50.0000,4.0000,10277.0000
1.0000,53.0000,5.0000,13.0000,78.0000,21.0000,35.0000,7.0000,10278.0000
1.0000,25.0000,4.0000,30.0000,78.0000,10.0000,45.0000,1.0000,10281.0000
1.0000,73.0000,5.0000,1.0000,78.0000,7.0000,30.0000,2.0000,10282.0000
1.0000,51.0000,5.0000,13.0000,78.0000,6.0000,30.0000,7.0000,10283.0000
1.0000,73.0000,5.0000,3.0000,78.0000,14.0000,50.0000,4.0000,10284.0000
1.0000,31.0000,5.0000,15.0000,78.0000,12.0000,40.0000,2.0000,10285.0000
1.0000,49.0000,5.0000,10.0000,78.0000,19.0000,0.0000,4.0000,10286.0000
1.0000,77.0000,5.0000,12.0000,78.0000,4.0000,55.0000,6.0000,10287.0000
1.0000,121.0000,4.0000,29.0000,78.0000,1.0000,45.0000,7.0000,10288.0000
