STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,MILEPT,CITY
1,121,4,12,0,15,1,10245,0,0
1,125,4,18,19,0,7,10246,0,0
1,119,4,22,13,30,4,10247,177,0
1,67,4,21,15,0,3,10248,190,0
1,107,4,14,8,20,3,10249,309,0
1,81,4,20,17,0,2,10250,0,0
1,99,4,7,14,40,3,10251,623,0
1,11,4,14,12,0,3,10252,2025,0
1,77,4,17,23,5,6,10253,0,2832
1,15,4,2,2,45,5,10254,1938,0
1,3,4,19,2,30,1,10255,50,0
1,97,4,23,11,15,5,10256,0,0
1,119,4,23,23,15,5,10257,99999,1920
1,43,4,17,18,10,6,10258,1930,0
1,61,4,24,19,50,6,10259,0,0
1,97,4,11,0,15,7,10260,55,0
1,117,4,25,4,5,7,10261,2305,0
1,109,4,2,5,55,5,10262,633,0
1,101,4,15,12,35,4,10263,99999,2130
1,97,4,19,23,19,1,10264,99999,2100
1,101,4,25,3,30,7,10265,99999,2130
1,73,4,6,22,0,2,10266,0,3125
1,125,4,26,12,41,1,10267,0,3050
1,3,4,12,5,20,1,10268,140,0
1,73,4,24,7,20,6,10269,0,330
1,101,4,15,23,10,4,10270,117,2130
1,43,4,25,11,46,7,10271,0,830
1,81,4,22,13,3,4,10272,0,200
1,3,4,24,13,32,6,10273,99999,860
1,71,4,16,20,38,5,10274,0,2720
1,49,4,12,2,2,1,10275,0,1230
1,49,4,29,11,51,4,10276,99999,1230
1,103,2,3,19,19,3,10277,0,890
1,121,4,18,11,30,7,10278,769,1870
1,121,3,7,22,35,7,10279,0,2910
1,73,4,26,1,40,1,10280,1167,0
1,95,4,17,14,1,6,10281,99999,1500
1,55,4,30,17,58,5,10282,0,2562
1,113,5,1,19,4,6,10283,2116,0
1,1,5,5,14,3,3,10284,0,0
1,99,5,3,20,15,1,10285,625,0
1,35,5,3,15,35,1,10286,997,0
1,125,5,5,18,0,3,10287,0,0
1,97,5,1,3,19,6,10288,0,0
1,97,5,2,5,38,7,10289,0,0
1,73,5,13,14,25,4,10290,202,0
1,25,5,3,7,0,1,10291,32,0
1,91,5,1,22,30,6,10292,1062,0
1,37,5,7,21,50,5,10293,68,0
1,73,5,9,13,38,7,10294,2661,1270
1,31,5,8,23,20,6,10295,1720,0
1,77,5,14,13,45,5,10296,3346,0
1,7,5,19,15,12,3,10297,0,0
1,87,5,17,14,50,1,10298,29,0
1,95,5,13,10,25,4,10299,0,50
1,73,5,6,20,15,4,10300,0,350
1,57,5,11,2,50,2,10301,391,0
1,3,5,12,21,15,3,10302,544,0
1,97,5,20,2,7,4,10303,82,0
1,83,5,11,17,15,2,10304,0,0
1,51,5,16,5,15,7,10305,134,0
1,47,5,7,16,52,5,10306,820,0
1,95,5,29,15,25,6,10307,595,0
1,55,5,23,19,15,7,10308,0,0
1,133,5,25,14,15,2,10309,338,0
1,57,5,26,21,45,3,10310,421,0
1,3,5,8,21,47,6,10311,0,2650
1,7,5,20,8,0,4,10312,0,0
1,109,5,22,15,30,6,10313,0,0
1,125,5,23,13,0,7,10314,62,0
1,73,5,30,16,25,7,10315,1020,0
1,19,5,26,7,30,3,10316,2693,0
1,111,5,22,16,0,6,10317,0,0
1,103,5,24,20,0,1,10318,715,0
1,29,5,28,21,12,5,10319,1955,0
1,31,5,28,21,20,5,10320,0,0
1,109,5,15,11,50,6,10321,1819,3040
1,73,5,20,17,28,4,10322,99999,350
1,79,5,11,17,33,2,10323,476,0
1,125,5,17,4,55,1,10324,683,0
1,89,5,17,20,10,1,10325,0,0
1,89,5,23,17,25,7,10326,0,3026
1,73,5,16,17,15,7,10327,0,350
1,125,5,29,14,55,6,10328,0,3050
1,81,5,15,2,0,6,10329,0,200
1,127,5,4,7,25,2,10330,99999,2880
1,3,5,9,2,40,7,10331,99999,1493
1,97,5,24,4,10,1,10332,131,0
1,117,5,26,6,40,3,10333,2402,0
1,49,5,15,6,50,6,10334,0,1230
1,97,5,25,1,15,2,10335,0,0
1,93,5,4,20,0,2,10336,99999,1540
1,13,5,21,15,0,5,10337,1402,0
1,101,5,23,23,47,7,10338,0,2130
1,115,5,23,20,49,7,10339,99999,2410
1,83,5,17,13,37,1,10340,99999,170
1,15,5,20,13,14,4,10341,99999,1770
1,55,5,21,11,35,5,10342,99999,1280
1,47,5,31,2,30,1,10343,179,0
1,117,5,29,10,18,6,10344,99999,1716
1,59,5,18,7,20,2,10345,1258,2690
1,43,5,1,1,47,6,10346,99999,830
1,71,5,29,23,50,6,10347,99999,2720
1,103,2,3,7,20,3,10348,99999,890
1,97,2,28,16,10,7,10349,0,0
1,73,3,16,18,30,2,10350,0,0
1,1,6,6,16,30,7,10351,2008,0
1,55,6,3,11,40,4,10352,1008,0
1,113,6,5,17,25,6,10353,2110,0
1,133,6,5,15,45,6,10354,261,0
1,101,6,3,6,15,4,10355,117,0
1,53,6,3,0,30,4,10356,455,0
1,131,6,2,15,0,3,10357,775,0
1,123,6,6,18,50,7,10358,192,0
1,101,6,5,1,55,6,10359,945,0
1,73,6,13,18,50,7,10360,0,0
1,101,6,5,17,5,6,10361,896,0
1,133,6,3,15,36,4,10362,99999,1530
1,51,6,14,14,20,1,10363,1792,0
1,19,6,7,17,10,1,10364,2345,1852
1,15,6,13,18,58,7,10365,0,0
1,73,6,19,3,30,6,10366,0,0
1,113,6,4,10,33,5,10367,1059,0
1,79,6,1,9,0,2,10368,446,0
1,95,6,15,16,35,2,10369,563,0
1,71,6,11,21,30,5,10370,1479,0
1,73,6,13,3,35,7,10371,99999,350
1,87,6,16,20,30,3,10372,0,0
1,83,6,7,2,5,1,10373,0,0
1,91,6,15,16,40,2,10374,285,0
1,3,6,7,7,0,1,10375,130,0
1,35,6,17,6,55,4,10376,99999,1080
1,35,6,19,16,20,6,10377,783,0
1,23,6,21,20,15,1,10378,0,0
1,97,6,11,2,57,5,10379,0,2100
1,9,6,13,18,40,7,10380,0,0
1,33,6,16,22,30,3,10381,0,0
1,43,6,16,7,25,3,10382,3071,0
1,127,6,19,17,5,6,10383,0,0
1,5,6,20,0,30,7,10384,281,0
1,89,6,21,6,30,1,10385,0,1730
1,125,6,14,11,15,1,10386,6621,0
1,101,6,3,21,21,4,10387,99999,2130
1,73,6,7,23,25,1,10388,0,350
1,37,6,20,5,0,7,10389,1041,0
1,97,6,13,2,16,7,10390,0,0
1,3,6,19,14,10,6,10391,310,0
1,29,6,22,17,30,2,10392,0,0
1,41,6,24,10,0,4,10393,1510,0
1,51,6,27,3,18,7,10394,0,0
1,83,6,28,4,0,1,10395,810,0
1,123,6,29,17,15,2,10396,0,0
1,73,6,21,6,15,1,10397,0,0
1,25,6,27,14,50,7,10398,0,0
1,99,6,29,10,1,2,10399,229,0
1,97,6,2,16,20,3,10400,0,0
1,73,6,25,10,10,5,10401,1120,0
1,101,6,15,14,40,2,10402,0,2130
1,115,6,20,14,20,7,10403,1485,0
1,43,6,25,20,5,5,10404,0,0
1,29,6,26,22,0,6,10405,2269,0
1,127,6,26,13,5,6,10406,0,0
1,23,6,11,15,30,5,10407,0,0
1,43,6,22,23,0,2,10408,3037,0
1,31,6,15,17,15,2,10409,247,0
1,69,6,25,7,55,5,10410,2302,0
1,61,6,12,21,5,6,10411,0,0
1,3,6,20,18,0,7,10412,443,0
1,101,6,24,10,28,4,10413,99999,2130
1,77,6,12,14,50,6,10414,99999,1200
1,49,6,14,13,28,1,10415,0,1230
1,73,6,21,0,46,1,10416,1422,3080
1,43,6,30,19,5,3,10417,0,0
