STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10223,19,4,2012,5,22,20,31,-88
1,10224,21,4,2012,7,6,45,32,-87
1,10225,21,4,2012,7,3,28,31,-88
1,10226,23,4,2012,2,13,40,34,-87
1,10227,23,4,2012,2,15,25,32,-87
1,10228,23,4,2012,2,11,30,34,-87
1,10229,24,4,2012,3,4,50,34,-87
1,10230,25,4,2012,4,5,30,33,-87
1,10231,27,4,2012,6,21,5,31,-87
1,10232,28,4,2012,7,17,30,34,-87
1,10233,29,4,2012,1,19,30,33,-88
1,10234,29,4,2012,1,6,22,34,-86
1,10235,21,4,2012,7,1,42,35,-87
1,10236,22,4,2012,1,20,0,34,-86
1,10237,30,4,2012,2,2,20,31,-88
1,10238,28,4,2012,7,17,52,33,-87
1,10239,15,4,2012,1,10,21,34,-87
1,10240,23,4,2012,2,10,45,35,-87
1,10241,27,4,2012,6,22,26,33,-85
1,10242,2,5,2012,4,12,15,33,-87
1,10243,3,5,2012,5,7,12,31,-88
1,10244,5,5,2012,7,20,7,33,-88
1,10245,7,5,2012,2,8,0,33,-87
1,10246,11,5,2012,6,21,10,33,-86
1,10247,12,5,2012,7,23,34,35,-87
1,10248,12,5,2012,7,3,0,35,-86
1,10249,1,5,2012,3,20,35,35,-87
1,10250,1,5,2012,3,15,28,33,-87
1,10251,3,5,2012,5,12,20,35,-87
1,10252,4,5,2012,6,15,35,34,-87
1,10253,5,5,2012,7,13,30,34,-86
1,10254,7,5,2012,2,14,46,33,-88
1,10255,7,5,2012,2,12,55,33,-87
1,10257,7,5,2012,2,6,50,33,-86
1,10258,8,5,2012,3,2,30,32,-85
1,10259,16,5,2012,4,13,30,33,-86
1,10260,17,5,2012,5,18,40,31,-88
1,10261,17,5,2012,5,12,19,35,-86
1,10262,18,5,2012,6,22,20,34,-85
1,10263,18,5,2012,6,13,28,31,-86
1,10264,19,5,2012,7,13,42,32,-86
1,10265,20,5,2012,1,20,37,32,-85
1,10266,20,5,2012,1,3,45,33,-85
1,10267,20,5,2012,1,16,20,34,-86
1,10268,23,3,2012,6,7,45,32,-86
1,10269,12,4,2012,5,11,45,33,-88
1,10270,13,4,2012,6,22,40,34,-87
1,10271,16,4,2012,2,22,30,33,-87
1,10272,8,5,2012,3,6,55,33,-87
1,10273,12,5,2012,7,8,30,33,-85
1,10274,13,5,2012,1,7,54,33,-87
1,10275,15,5,2012,3,3,40,35,-88
1,10276,16,5,2012,4,5,55,31,-87
1,10277,19,5,2012,7,22,30,34,-87
1,10278,19,5,2012,7,18,46,33,-85
1,10279,20,5,2012,1,6,5,31,-88
1,10280,20,5,2012,1,1,50,35,-87
1,10281,21,5,2012,2,13,35,31,-87
1,10282,23,5,2012,4,0,51,31,-88
1,10283,24,5,2012,5,12,45,32,-86
1,10284,25,5,2012,6,23,58,34,-87
1,10285,26,5,2012,7,14,5,34,-87
1,10286,27,5,2012,1,2,30,35,-87
1,10287,31,5,2012,5,7,55,34,-86
1,10288,24,5,2012,5,12,20,35,-87
1,10289,1,5,2012,3,17,10,34,-87
1,10290,20,5,2012,1,16,40,34,-87
1,10291,30,5,2012,4,16,12,33,-87
1,10292,30,5,2012,4,18,5,32,-86
1,10293,30,5,2012,4,11,40,34,-87
1,10294,31,5,2012,5,14,30,34,-87
1,10295,31,5,2012,5,8,50,33,-86
1,10296,27,5,2012,1,5,0,33,-87
1,10297,28,5,2012,2,15,52,34,-87
1,10298,2,6,2012,7,0,25,30,-88
1,10299,3,6,2012,1,16,45,32,-88
1,10300,3,6,2012,1,21,0,34,-87
1,10301,4,6,2012,2,0,10,34,-87
1,10302,5,6,2012,3,12,38,34,-88
1,10303,9,6,2012,7,23,45,31,-88
1,10304,10,6,2012,1,15,12,35,-87
1,10305,2,6,2012,7,7,10,34,-86
1,10306,3,6,2012,1,1,54,33,-87
1,10307,7,6,2012,5,10,43,32,-88
1,10308,9,6,2012,7,2,17,35,-86
1,10309,4,6,2012,2,11,15,34,-87
1,10310,9,4,2012,2,12,5,32,-88
1,10311,8,6,2012,6,17,30,35,-87
1,10312,6,5,2012,1,1,30,30,-88
1,10313,26,5,2012,7,9,55,35,-87
1,10314,30,5,2012,4,17,30,35,-88
1,10315,1,6,2012,6,23,30,34,-86
1,10316,4,6,2012,2,8,8,31,-87
1,10317,5,6,2012,3,14,0,32,-86
1,10318,9,6,2012,7,19,25,34,-87
1,10319,10,6,2012,1,2,30,32,-86
1,10320,10,6,2012,1,11,55,34,-86
1,10321,10,6,2012,1,13,30,34,-86
1,10322,10,6,2012,1,3,0,32,-86
1,10323,12,6,2012,3,21,28,34,-87
1,10324,13,6,2012,4,10,40,31,-88
1,10325,13,6,2012,4,22,23,33,-87
1,10326,13,6,2012,4,6,30,34,-86
1,10327,14,6,2012,5,15,58,34,-87
1,10328,14,6,2012,5,6,30,34,-86
1,10329,14,6,2012,5,20,10,31,-88
1,10330,15,6,2012,6,10,0,35,-86
1,10331,16,6,2012,7,22,15,32,-85
1,10332,16,6,2012,7,17,15,34,-88
1,10333,16,6,2012,7,8,10,34,-86
1,10334,18,6,2012,2,12,30,35,-87
1,10335,19,6,2012,3,7,30,32,-87
1,10336,20,6,2012,4,7,5,35,-87
1,10337,20,6,2012,4,5,5,35,-87
1,10338,21,6,2012,5,17,10,32,-86
1,10339,22,6,2012,6,13,44,31,-88
1,10340,23,6,2012,7,1,35,34,-87
1,10341,25,6,2012,2,21,12,33,-86
1,10342,7,6,2012,5,5,37,34,-87
1,10343,17,5,2012,5,20,45,33,-87
1,10344,9,6,2012,7,21,21,34,-87
1,10345,18,5,2012,6,23,26,34,-87
1,10346,3,6,2012,1,13,25,31,-88
1,10347,7,6,2012,5,13,13,33,-88
1,10348,10,6,2012,1,21,18,34,-87
1,10349,16,6,2012,7,16,44,34,-87
1,10350,23,6,2012,7,4,15,33,-85
1,10351,27,6,2012,4,4,15,33,-87
1,10352,30,6,2012,7,5,0,30,-88
1,10353,2,6,2012,7,12,15,31,-87
1,10354,13,6,2012,4,1,30,33,-87
1,10355,17,6,2012,1,1,10,35,-87
1,10356,21,6,2012,5,0,50,35,-88
1,10357,22,6,2012,6,3,0,32,-86
1,10358,23,6,2012,7,21,25,31,-86
1,10359,23,6,2012,7,4,20,32,-88
1,10360,24,6,2012,1,2,10,31,-87
1,10361,24,6,2012,1,0,45,30,-88
1,10362,26,6,2012,3,21,50,32,-87
1,10363,27,6,2012,4,15,44,35,-88
1,10364,27,6,2012,4,12,3,31,-88
1,10365,30,6,2012,7,4,20,35,-87
1,10366,28,6,2012,5,0,31,34,-86
1,10367,29,6,2012,6,19,35,31,-87
1,10368,28,6,2012,5,18,36,34,-87
1,10369,28,6,2012,5,15,12,31,-86
1,10370,30,6,2012,7,17,0,34,-86
1,10371,4,7,2012,4,16,29,33,-88
1,10372,7,7,2012,7,1,22,34,-86
1,10373,2,7,2012,2,6,40,31,-87
1,10374,3,7,2012,3,21,56,33,-87
1,10376,3,7,2012,3,13,59,33,-86
1,10377,4,7,2012,4,16,40,34,-86
1,10378,8,7,2012,1,5,15,34,-87
1,10379,6,7,2012,6,1,30,31,-88
1,10380,5,7,2012,5,12,40,33,-87
1,10381,6,7,2012,6,15,40,34,-87
1,10382,3,7,2012,3,21,16,31,-88
1,10383,5,7,2012,5,0,1,33,-86
1,10384,6,7,2012,6,19,52,35,-87
1,10385,17,7,2012,3,16,51,35,-86
1,10386,5,4,2012,5,17,45,35,-86
1,10387,8,8,2012,4,13,25,34,-88
1,10388,19,6,2012,3,13,50,32,-86
1,10389,19,6,2012,3,11,25,34,-86
1,10390,27,6,2012,4,8,47,34,-86
1,10391,27,6,2012,4,15,50,34,-86
1,10392,26,6,2012,3,4,48,35,-87
1,10393,27,6,2012,4,21,15,33,-87
1,10394,30,6,2012,7,18,0,34,-88
1,10395,19,6,2012,3,1,46,35,-88
1,10396,3,7,2012,3,15,30,32,-86
1,10397,6,7,2012,6,21,5,32,-87
1,10398,6,7,2012,6,11,25,35,-86
1,10399,7,7,2012,7,6,3,33,-85
1,10400,7,7,2012,7,9,35,34,-88
1,10401,8,7,2012,1,12,30,34,-86
1,10402,9,7,2012,2,2,52,35,-88
1,10403,9,7,2012,2,9,10,31,-85
1,10404,11,7,2012,4,17,52,32,-88
1,10405,15,7,2012,1,22,45,34,-87
1,10406,12,7,2012,5,5,20,33,-87
1,10407,15,7,2012,1,13,53,34,-87
1,10408,17,7,2012,3,13,28,34,-86
1,10409,17,7,2012,3,11,6,33,-87
1,10410,14,7,2012,7,22,25,34,-87
1,10411,30,6,2012,7,22,23,34,-86
1,10412,18,7,2012,4,7,40,35,-87
1,10413,29,6,2012,6,5,40,33,-87
1,10414,3,7,2012,3,15,21,34,-87
1,10415,12,7,2012,5,3,12,30,-88
1,10416,12,7,2012,5,12,20,34,-87
1,10417,12,7,2012,5,21,44,35,-87
1,10418,13,7,2012,6,7,7,31,-88
1,10419,14,7,2012,7,17,0,35,-88
1,10420,15,7,2012,1,11,45,31,-88
1,10421,16,7,2012,2,6,30,35,-88
1,10422,16,7,2012,2,16,50,34,-88
1,10423,19,7,2012,5,18,25,33,-87
1,10424,20,7,2012,6,17,20,34,-87
1,10425,20,7,2012,6,2,25,35,-87
1,10426,20,7,2012,6,20,15,35,-87
1,10427,21,7,2012,7,5,45,35,-88
1,10428,22,7,2012,1,0,1,33,-85
1,10429,22,7,2012,1,1,15,33,-86
1,10430,23,7,2012,2,16,44,32,-86
1,10431,24,7,2012,3,23,50,35,-87
1,10432,26,7,2012,5,4,45,33,-87
1,10433,14,7,2012,7,11,36,35,-88
1,10434,25,7,2012,4,8,55,33,-85
1,10435,4,8,2012,7,17,2,33,-85
1,10436,27,6,2012,4,17,45,34,-86
1,10437,28,6,2012,5,2,0,32,-87
1,10438,30,7,2012,2,21,0,34,-87
1,10439,22,7,2012,1,17,0,32,-88
1,10440,23,7,2012,2,17,10,31,-86
1,10441,24,7,2012,3,3,20,31,-88
1,10442,25,7,2012,4,5,30,31,-88
1,10443,24,7,2012,3,10,30,33,-88
1,10444,27,7,2012,6,13,5,31,-88
1,10445,28,7,2012,7,2,0,32,-87
1,10446,28,7,2012,7,20,35,32,-86
1,10447,30,7,2012,2,12,5,33,-86
1,10448,31,7,2012,3,19,36,33,-85
1,10449,2,8,2012,5,4,40,35,-88
1,10450,3,8,2012,6,14,45,31,-87
1,10451,4,8,2012,7,9,10,34,-87
1,10452,8,8,2012,4,11,20,33,-85
1,10453,10,8,2012,6,10,17,31,-86
1,10454,21,7,2012,7,23,1,34,-87
1,10455,21,7,2012,7,17,30,33,-87
1,10456,26,7,2012,5,14,0,34,-85
1,10457,28,7,2012,7,18,40,31,-85
1,10458,4,8,2012,7,4,35,34,-87
1,10459,3,8,2012,6,22,20,31,-87
1,10460,3,8,2012,6,9,55,31,-86
1,10461,5,8,2012,1,22,56,33,-88
1,10462,5,8,2012,1,19,22,31,-87
1,10463,5,8,2012,1,0,1,30,-88
1,10464,5,8,2012,1,12,5,32,-86
1,10465,7,8,2012,3,2,0,32,-85
1,10466,8,8,2012,4,20,0,34,-87
1,10467,9,8,2012,5,23,35,35,-87
1,10468,9,8,2012,5,12,38,31,-85
1,10469,11,8,2012,7,22,15,31,-88
1,10470,12,8,2012,1,0,5,35,-87
1,10471,12,8,2012,1,11,50,34,-86
1,10472,12,8,2012,1,3,59,32,-86
1,10473,14,8,2012,3,18,10,32,-86
1,10474,10,8,2012,6,23,27,33,-87
1,10475,19,8,2012,1,7,2,32,-86
1,10476,12,8,2012,1,10,44,32,-86
1,10477,13,8,2012,2,16,30,34,-88
1,10478,16,8,2012,5,11,0,34,-85
1,10479,17,8,2012,6,0,35,30,-88
1,10480,19,8,2012,1,4,20,35,-87
1,10481,20,8,2012,2,6,25,32,-85
1,10482,20,8,2012,2,23,45,34,-88
1,10483,19,5,2012,7,13,27,35,-87
1,10484,4,6,2012,2,13,15,33,-87
1,10485,11,6,2012,2,5,10,34,-87
1,10486,5,8,2012,1,11,10,34,-86
1,10487,28,8,2012,3,16,5,33,-85
1,10488,29,8,2012,4,3,5,33,-87
1,10489,2,9,2012,1,5,0,33,-87
1,10490,4,9,2012,3,19,23,31,-86
1,10491,6,9,2012,5,22,41,34,-87
1,10492,20,8,2012,2,14,15,31,-86
1,10493,24,8,2012,6,15,5,35,-88
1,10494,24,8,2012,6,17,50,33,-86
1,10495,24,8,2012,6,5,40,33,-88
1,10496,24,8,2012,6,20,50,34,-87
1,10497,25,8,2012,7,2,50,33,-87
1,10498,25,8,2012,7,7,45,33,-86
1,10499,25,8,2012,7,1,50,34,-87
1,10500,28,8,2012,3,9,50,33,-88
1,10501,28,8,2012,3,7,20,34,-86
1,10502,30,8,2012,5,15,50,34,-86
