STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,ST_CASE,CITY
1,3,5,13,15,50,10332,2823
1,73,2,18,18,42,10333,1717
1,119,3,3,4,10,10334,3320
1,15,3,3,11,34,10335,1770
1,131,3,5,15,16,10336,2490
1,51,4,6,15,15,10337,2940
1,63,4,11,4,30,10338,0
1,73,4,27,19,10,10339,350
1,69,4,6,20,10,10340,930
1,59,4,27,10,20,10341,2690
1,89,4,9,16,45,10342,1730
1,73,4,2,22,5,10343,350
1,123,4,22,14,12,10344,60
1,125,4,12,1,35,10345,3050
1,51,6,4,15,26,10346,1025
1,19,6,2,7,0,10347,0
1,35,6,8,10,38,10348,1080
1,81,6,10,5,30,10349,0
1,103,6,13,16,45,10350,0
1,89,6,14,12,30,10351,0
1,41,6,6,2,25,10352,0
1,67,6,3,16,45,10353,0
1,117,6,12,1,30,10354,0
1,117,6,13,0,55,10355,0
1,117,6,14,2,55,10356,0
1,9,6,17,8,0,10357,0
1,89,6,18,22,14,10358,1508
1,15,6,10,6,30,10359,0
1,85,6,19,15,0,10360,0
1,19,6,20,5,50,10361,0
1,51,6,20,11,35,10362,0
1,125,6,18,6,45,10363,0
1,97,6,21,21,25,10364,0
1,129,6,14,13,15,10365,0
1,81,6,15,14,44,10366,0
1,97,6,16,19,54,10367,2100
1,11,6,19,20,20,10368,0
1,125,6,24,5,30,10369,0
1,25,6,19,18,25,10370,0
1,23,6,20,21,15,10371,0
1,53,6,15,18,50,10372,0
1,23,6,22,11,25,10373,0
1,119,6,16,0,15,10374,0
1,127,6,16,17,45,10375,0
1,111,6,20,2,13,10376,0
1,115,6,20,13,15,10377,0
1,97,6,21,6,25,10378,0
1,125,6,29,10,30,10379,0
1,43,6,26,7,25,10380,0
1,103,6,30,21,50,10381,0
1,43,6,22,20,35,10382,830
1,29,6,28,18,40,10383,0
1,73,6,23,15,20,10384,0
1,49,6,30,15,10,10385,1230
1,11,6,26,21,15,10386,0
1,125,6,30,17,30,10387,0
1,3,6,28,5,15,10388,1210
1,3,6,12,4,38,10389,2355
1,97,6,19,22,30,10390,0
1,109,6,29,11,0,10391,0
1,97,6,30,1,40,10392,2100
1,69,6,11,6,15,10393,930
1,89,6,24,20,35,10394,1730
1,53,6,6,20,10,10395,470
1,53,6,26,14,45,10396,0
1,97,6,1,13,28,10397,807
1,51,6,5,22,26,10398,0
1,131,6,18,19,99,10399,0
1,125,6,26,15,7,10400,3050
1,125,6,19,20,6,10401,3050
1,125,4,9,2,0,10402,3050
1,55,5,15,4,11,10403,190
1,93,5,14,16,15,10404,270
1,1,7,2,14,1,10405,0
1,69,7,3,15,35,10406,0
1,73,7,9,18,20,10407,350
1,121,7,7,16,30,10408,0
1,103,7,7,21,15,10409,0
1,13,7,10,11,45,10410,0
1,17,7,11,6,0,10411,0
1,79,7,9,0,5,10412,0
1,15,7,11,4,30,10413,0
1,61,7,13,13,30,10414,0
1,89,7,13,23,15,10415,0
1,15,7,14,23,35,10416,0
1,115,7,5,18,30,10417,0
1,115,7,11,2,15,10418,0
1,119,7,2,12,8,10419,0
1,83,7,3,10,0,10420,0
1,131,7,3,20,30,10421,0
1,103,7,14,17,0,10422,0
1,43,7,5,21,51,10423,0
1,59,7,18,13,45,10424,0
1,9,7,17,0,13,10425,2330
1,113,7,4,13,18,10426,0
1,13,7,11,19,20,10427,0
1,97,7,15,23,33,10428,2100
1,79,7,21,12,55,10429,0
1,9,7,6,16,32,10430,0
1,55,7,18,4,50,10431,0
1,121,7,19,16,52,10432,0
1,33,7,21,19,35,10433,0
1,9,7,1,16,20,10434,0
1,115,7,8,19,35,10435,0
1,5,7,5,20,5,10436,1050
1,125,7,17,10,55,10437,0
1,51,7,17,8,0,10438,0
1,97,7,19,10,50,10439,2100
1,3,7,16,3,29,10440,2650
1,97,7,5,16,18,10441,0
1,23,7,17,16,5,10442,0
1,23,7,18,3,15,10443,0
1,3,7,22,12,20,10444,0
1,97,7,25,4,30,10445,0
1,3,7,25,12,4,10446,0
1,125,7,25,5,45,10447,0
1,15,7,29,14,30,10448,0
1,95,7,22,17,45,10449,0
1,73,7,25,6,13,10450,0
1,15,7,25,5,40,10451,0
1,95,7,27,2,20,10452,0
1,21,7,30,16,45,10453,0
1,15,7,30,21,45,10454,0
1,73,7,23,13,35,10455,0
1,73,7,9,23,15,10456,350
1,43,7,28,8,45,10457,0
1,71,7,28,18,25,10458,0
1,75,7,17,13,45,10459,290
1,15,7,30,23,49,10460,0
1,27,7,31,21,20,10461,0
1,65,7,26,14,45,10462,0
1,95,7,17,22,51,10463,50
1,49,7,3,16,20,10464,1230
1,1,7,6,11,22,10465,2540
1,9,7,16,14,45,10466,0
