STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10163,1730,27,3,2013,4,0,56,35,-87
1,10164,0,28,3,2013,5,17,11,33,-85
1,10165,2550,29,3,2013,6,23,22,31,-88
1,10166,1730,31,3,2013,1,12,43,35,-86
1,10167,2900,29,1,2013,3,7,0,33,-86
1,10168,0,10,3,2013,1,16,20,33,-85
1,10169,0,25,3,2013,2,13,0,32,-87
1,10170,0,26,3,2013,3,17,45,33,-88
1,10171,2410,26,3,2013,3,13,40,34,-86
1,10172,0,28,3,2013,5,21,40,31,-87
1,10173,0,30,3,2013,7,12,30,33,-87
1,10174,1030,29,3,2013,6,8,48,31,-86
1,10175,2355,1,4,2013,2,16,28,30,-88
1,10176,350,2,4,2013,3,17,30,33,-87
1,10177,0,4,4,2013,5,7,30,31,-87
1,10178,0,5,4,2013,6,12,0,32,-88
1,10179,0,5,4,2013,6,14,0,34,-86
1,10180,2700,5,4,2013,6,8,30,32,-86
1,10181,0,6,4,2013,7,15,45,30,-88
1,10182,0,6,4,2013,7,4,48,32,-85
1,10183,0,6,4,2013,7,21,30,34,-86
1,10184,0,6,4,2013,7,4,30,34,-86
1,10185,0,6,4,2013,7,18,50,33,-87
1,10186,0,7,4,2013,1,19,15,35,-87
1,10187,2100,7,4,2013,1,0,8,31,-88
1,10188,0,8,4,2013,2,7,40,32,-88
1,10189,0,12,4,2013,6,14,35,34,-87
1,10190,0,12,4,2013,6,16,10,33,-88
1,10191,3050,12,4,2013,6,12,41,33,-87
1,10192,1730,13,4,2013,7,16,27,35,-87
1,10193,0,15,4,2013,2,3,15,32,-87
1,10194,1730,16,4,2013,3,14,14,35,-87
1,10195,1280,18,4,2013,5,10,38,34,-86
1,10196,2940,1,4,2013,2,12,14,33,-86
1,10197,60,5,4,2013,6,23,4,33,-86
1,10198,2100,5,4,2013,6,3,0,31,-88
1,10199,1280,8,4,2013,2,17,2,34,-86
1,10200,1080,11,4,2013,5,4,20,31,-87
1,10201,2020,12,2,2013,3,18,45,33,-87
1,10202,350,21,2,2013,5,12,22,34,-87
1,10203,0,16,3,2013,7,19,30,34,-86
1,10204,50,6,4,2013,7,12,47,34,-86
1,10205,350,18,4,2013,5,4,5,34,-87
1,10206,0,3,4,2013,4,16,30,32,-86
1,10207,0,30,4,2013,3,7,40,35,-87
1,10208,0,6,4,2013,7,22,0,32,-86
1,10209,0,8,4,2013,2,12,55,35,-86
1,10210,350,13,4,2013,7,21,21,34,-87
1,10211,0,14,4,2013,1,12,20,33,-86
1,10212,350,2,4,2013,3,16,0,34,-87
1,10213,0,14,4,2013,1,0,45,31,-88
1,10214,0,14,4,2013,1,15,8,35,-88
1,10215,0,14,4,2013,1,14,20,35,-87
1,10216,2130,15,4,2013,2,7,29,32,-86
1,10217,0,17,4,2013,4,16,25,33,-87
1,10218,0,18,4,2013,5,11,0,34,-86
1,10219,0,18,4,2013,5,0,3,31,-88
1,10220,0,16,4,2013,3,8,37,34,-86
1,10221,0,19,4,2013,6,23,35,32,-86
1,10222,0,19,4,2013,6,7,25,33,-87
1,10223,0,19,4,2013,6,7,41,31,-87
1,10224,0,20,4,2013,7,10,5,35,-88
1,10225,0,20,4,2013,7,20,45,30,-88
1,10226,0,21,4,2013,1,5,50,32,-88
1,10227,0,23,4,2013,3,20,50,33,-87
1,10228,0,23,4,2013,3,22,0,34,-87
1,10229,930,23,4,2013,3,19,8,31,-85
1,10230,0,24,4,2013,4,15,45,31,-85
1,10231,0,24,4,2013,4,23,45,34,-86
1,10232,2380,25,4,2013,5,15,50,31,-86
1,10233,0,25,4,2013,5,23,45,35,-87
1,10234,2100,27,4,2013,7,23,46,31,-88
1,10235,2100,28,4,2013,1,0,5,31,-88
1,10236,350,28,4,2013,1,15,15,34,-87
1,10237,890,29,4,2013,2,9,45,35,-87
1,10238,0,29,4,2013,2,17,35,31,-88
1,10239,0,29,4,2013,2,21,0,35,-88
1,10240,0,30,4,2013,3,19,0,35,-87
1,10241,0,6,5,2013,2,20,53,34,-88
1,10242,2190,9,5,2013,5,10,35,35,-88
1,10243,0,1,5,2013,4,18,30,33,-86
1,10244,2130,3,5,2013,6,1,4,32,-86
1,10245,0,4,5,2013,7,2,50,35,-87
1,10246,0,5,5,2013,1,5,33,34,-86
1,10247,0,6,5,2013,2,7,5,35,-88
1,10248,0,7,5,2013,3,6,50,31,-86
1,10249,2130,8,5,2013,4,7,40,32,-86
1,10250,480,8,5,2013,4,9,54,35,-86
1,10251,0,10,5,2013,6,13,50,34,-86
1,10252,0,10,5,2013,6,7,35,33,-88
1,10253,1730,13,5,2013,2,21,1,35,-87
1,10254,3070,11,5,2013,7,17,45,32,-86
1,10255,650,29,5,2013,4,10,40,31,-88
1,10256,0,26,4,2013,6,14,55,33,-87
1,10257,350,23,4,2013,3,4,15,34,-87
1,10258,350,22,4,2013,2,23,0,34,-87
1,10259,350,5,5,2013,1,12,32,33,-87
1,10260,0,9,5,2013,5,16,0,32,-87
1,10261,0,9,5,2013,5,20,25,34,-86
1,10262,3050,13,5,2013,2,14,7,33,-88
